video_id,channel_name,video_title,freq_cut_per_video,video_duration_sec,dominant_color,view_count,title_word_count,video_category,is_for_kids,date_published_cleaned,key_dopamine_factor,dopamine_label
Yd7alWep_Jc,Erik W,Skydive City Hop N Pop,0,673,No Dominant Color,814248,5,Entertainment,0,01-05-2025,Exploration and Discovery,0
6Pm0Mn0-jYU,CNBC Make It,Why Finland And Denmark Are Happier Than The U.S.,1,1544,Pastel Colors,10634959,9,Tourism,0,09-01-2020,Exploration and Discovery,1
NUMz00m8ySk,Parts of Body,Parts of Body,1,210,White,730018,3,Education,1,21-01-2025,Creative Elements,0
k3ri6deSnjM,CBC Kids News,Kids react to getting vaccinated,1,160,Peach,436048,5, Informative,1,25-04-2019,Element of Surprise,0
rKp4pe92ljg,Jared Owem,How does an Elevator work?,1,692,White,5706913,5,Informative,0,06-04-2023,On-screen Positive Feedback,1
AVO_cLGFxik,HZHtube Kids Fun,Restaurant Drive Thru play & Ride On Car for Kids,1,380,Yellow,118491679,9,Entertainment,1,09-05-2018,Imaginative Play Scenarios,1
NYQl9-5FpQM,Nat Geo Kids,Intro to Cool Science Experiments,0,79,No Dominant Color,411094,5,Music,1,12-03-2015,No Dominant Factor,0
3oApwYWcnQk,Nat Geo Kids,Cosmic Costumer | You Wanna Be a What?!,1,152,No Dominant Color,44850,7,Informative,1,12-01-2015,Exploration and Discovery,0
3gbhi-l0tEg,Brigette Laurie,moments from autumn | london video diary,1,303,No Dominant Color,11410,6,Travel Vlog,0,12-04-2024,Exploration and Discovery,0
uohfVBaHkXs,LeoNataFamily,He turned out to be an angel ,1,34,Green,1354133747,7,Entertainment,1,26-06-2022,Character Novelty,1
Q6vVuj3iggE,Mark Rober,Skin a Watermelon Party Trick,1,171,Red,147896353,5,Informative,0,31-08-2015,Element of Surprise,1
fvyBCesuxMM,Disruptor Comedy,The New Kid | Doritos Commercial,1,30,No Dominant Color,74669219,5,Advertisement,0,15-11-2015,No Dominant Factor,1
S84fHUZdOGs,Chris kids Show,Chris and Magic Faucet Adventure ,1,1870,Yellow,105188203,5,Entertainment,1,07-12-2024,Familiar Characters,1
U7ZOFL68B8c,Motiversity,"THE ART OF WINNING - The Most Powerful Motivational Speeches for Success, Athletes & Working Out",1,615,No Dominant Color,129120,15,Motivation,0,17-06-2025,On-screen Positive Feedback,1
osz6xJnsPpU,Tales by Monisha 2.0,He Lost Everythingâ€¦ But Never Gave Up ,1,431,Pastel Colors,106650,7,Motivation,0,08-04-2025,Discipline,0
JYNyQcblzgI,Mr Bean,ARMCHAIR Bean  Funny Clips Mr Bean Official,1,903,Green,160911863,6,Entertainment ,1,03-04-2020,Familiar Characters,1
e_04ZrNroTo,Cocomelon - Nursery Rhymes,Wheels on the Bus,1,228,Multi Colors,7611337290,4,Music,1,24-05-2018,Visual Effects,1
A1vdKfXlB_g,Scratch Garden,The Dance Freeze Song,1,272,Multi Colors,334080687,4,Music,1,10-02-2020,Repetitive Music/Audio,1
7WsV8SiFTT0,Stories Realm,The Ticking Penny By Charles Dicken,1,334,Yellow,544,6,Entertainment,0,07-01-2025,No Dominant Factor,0
bBta-wANxy8,Marvel HQ,Venom Spidey vs Hulk!Â ,1,230,Green,54612083,4,Entertainment ,1,19-12-2018,Familiar Characters,1
t_a1wsVjp5M,Boey Bear - Toddler Learning Videos,Circle Time Tuesday! (For preschool & toddlers to learn at home),0,405,Yellow,92675,11,Education,1,16-06-2020,Creative Elements,0
qzj2dIEuxxs,5-Minute Crafts,DIY FIDGET TOYS IS THIS THE MOST SATISFYING SLIME EVER? ,1,3717,Multi Colors,8892815,10,Entertainment ,0,06-12-2024,Visual Effects,1
xLEEM0t6kCo,Peep and the Big Wide World,Peep and the Big Wide World: Collecting and Sorting,1,88,No Dominant Color,87722,9,Entertainment,1,04-06-2011,Exploration and Discovery,0
HJFxTsX0Ok0,WB Kids,Tom & Jerry  Is Jerry Taking Care of Tom? ,1,280,Yellow,102531483,8,Entertainment ,1,27-06-2020,Distinctive Sound Effects,1
4K2gSuFdqgY,Travis in WONDERLAND,TRAVIS @ 3 MONTHS,1,632,No Dominant Color,3607869,4,Vlog,1,05-04-2018,Character Novelty,1
xpzflTfm8k0,Jared Owen,What's inside of the Eiffel Tower?,1,353,Blue,5107316,6,Informative,0,27-09-2019,No Dominant Factor,0
16T0lvYHtkE,WB Kids,Tom & JerryÂ ,0,1662,No Dominant Color,201867425,3,Entertainment ,1,31-08-2018,Familiar Characters,1
neYiCxCD64s,Moonbug Kids - Kids Learning Videos,Ten Little Duckies ,1,1875,Multi Colors,104485319,3,Music,1,12-08-2022,Familiar Characters,1
XqZsoesa55w,Baby Shark,Baby Shark Dance,1,136,Blue,15987051071,3,Music,1,18-06-2016,Repetitive Music/Audio,1
jjd-BeTX6U0, Ryan's World,HUGE EGGS Surprise Toys Challenge with Inflatable water slide,0,357,Yellow,2078009198,9,Entertainment ,1,13-04-2016,Element of Surprise,1
kIRwGjHpoJg,Viva Pictures,Finnick,1,878,Bright Colors,6307,1,Entertainment,0,31-07-2025,Distinctive Sound Effects,1
o0zjRGRYEhk,Let Me Explain Studios,My School Dress Codes,1,379,Pink,45684016,4,Entertainment ,0,08-03-2019,Distinctive Sound Effects,1
3ujQVQxpYKA,Interesting Facts,Moments When Things Went Wrong !,0,1178,No Dominant Color,14826,5,Entertainment ,0,30-04-2024,Visual Effects,0
S7EC6Q37o-s,Kiddoodle Rhymes - Educational Rhymes & Songs,Muffin Mouse and the Music Meadow  ,1,792,Green,136,6,Music,1,09-07-2025,No Dominant Factor,0
Gn7IoT_WSRA,TED-Ed,How containerization shaped the modern world,0,286,White,598934,6,Informative,0,12-03-2012,No Dominant Factor,0
HFTMJGHSpls,Privacy Levels,Every Password Mistake You Are Making Explained in 4 and Half Minutes,1,269,White,454,12,Informative,0,25-06-2025,No Dominant Factor,0
V67VksbvAGA,Moonbug Kids - Animal Adventures for Kids,Road Trip Buddies ,1,431,Yellow,951316,3,Entertainment ,1,04-04-2025,Distinctive Sound Effects,1
QbrSEPuFFW8,Suno Kids TV,Bartolito the RoosterÂ ,0,129,Black,43746,3,Music,1,26-12-2024,Repetitive Music/Audio,0
TPvTK-S_VR4,Sheriff Labrador,Cardboard World  Learn Occupations Fun Adventure ,1,1611,Yellow,21441888,6,Entertainment ,1,13-06-2025,Element of Surprise,1
ZLAPnjYMUbQ,neo,The History of Christmas,0,327,No Dominant Color,74293,4,Informative,0,22-12-2016,No Dominant Factor,0
95r1gyjT1sU,Toys Make Me Smile,Pretend Play Pizza Delivery & Cooking Food Kitchen Toy Set,1,377,White ,333068287,9,Entertainment ,1,08-05-2018,Element of Surprise,1
EJkn-r-rJJY,Disney Jr.,"
Keepy Uppy  Magic Xylophone Shadowlands  Bluey",1,1230,Orange,130896691,6,Entertainment ,1,09-09-2019,Familiar Characters,1
f107bFluUU4,Little Sports,BURN CALORIES AT HOME - CARDIO KIDS WORKOUT,0,784,No Dominant Color,5015,7,Informative,1,06-06-2025,Unique Animation Style,0
3bSBtqOBaRI,Vlad ,Using only ONE COLOR to build a HOUSE! Challenge from Vlad,1,489,Bright Colors,42829943,11,Entertainment ,1,23-07-2023,Familiar Characters,1
bnLrIO4J8To,My Art,30 MINS Painting BEST Compilation,1,2284,Multi Colors,6683344,5,Informative,0,11-05-2024,Creative Elements,1
oELVbEJuAkc,Buddy Son Storytime,A World Wonder â€“ An imaginative read aloud about building community and helping others!,0,358,No Dominant Color,30502,13,Short Story,1,06-06-2024,Engaging Narrative,0
L0MK7qz13bU,Disney UK,FROZEN  Let It Go Sing-along ,0,243,Silver,3539174744,6,Music,1,30-01-2014,Familiar Characters,1
q1adV0O7JmA,DW Documentary,Dogs & us - The secrets of an unbreakable friendship,0,2545,No Dominant Color,5427647,11,Documentary,0,19-09-2021,Animals,0
sJVciPS5WDI,President of India,Slovak artists perform Indian National Anthem at the Banquet hosted in honour of President Murmu,0,77,White,441577,15,Entertainment,0,10-04-2025,Familiar Characters,0
r9PeYPHdpNo,Netflix,Our Planet,0,2988,Blue,37389489,2,Nature,0,17-04-2020,Animals,0
3hnth2TVh7A,Llama Llama,Fun is More Important Than Winning!,1,140,Yellow,12521,6,Entertainment,1,08-11-2019,No Dominant Factor,0
02LAx-CZ-0Q,Andrew James,My New Life Living In NYC at 22,1,716,Multi Colors,1835577,8,Country Vlog,0,11-02-2024,Exploration and Discovery,1
iKMnIYi68xk,LongStoryShort,GANDHI'S PATH TO PEACE,1,204,Yellow,10287,4,Education,0,21-06-2025,History,0
pIzvMfI43Dg,Mystery Science,How do you know if you need glasses?,1,365,No Dominant Color,223049,8,Informative,1,27-11-2023,No Dominant Factor,0
nfWlot6h_JM,Taylor Swift,Taylor Swift - Shake It Off,1,241,No Dominant Color,3587534249,5,Music,0,19-08-2014,Catchy/Melodic Music,1
X7phS7CyRQk,Scence City ,The Boat Race Stuart Little,1,381,White,7518243,5,Entertainment,0,15-07-2023,Comedy,1
r15_6z9xryo,Sam Chui,Inside The World's Only Private Boeing 787 Dreamliner!,0,436,White,72035261,8,Informative,0,17-09-2017,Creative Elements,0
g6eCPsX5MVk,BBC Earth Kids,Diving with Dangerous Bull Sharks,1,246,Blue,46037,6,Tourism,1,11-12-2019,Exploration and Discovery,1
eviTy71jcWI,HiHo Kids,Kids Try Snacks from IndonesiaÂ ,0,242,Pink,73802542,5,Entertainment,1,06-07-2018,On-screen Positive Feedback,1
wI1xv3kIjtc,Dana Berez,Chicago Travel Video 2018,1,101,No Dominant Color,3873,4,Tourism,0,31-07-2018,Distinctive Sound Effects,0
6cqVkN-24cs,Tumble Leaf - Official Channel,FLASHLIGHT | TUBE | STRAW | GEAR | PARACHUTE,0,511,Blue,11111,5,Entertainment,1,05-03-2024,Unique Animation Style,0
xLoK5rOl8Qk,The Mindfulness Teacher,The Body Scanner! Mindfulness for Children,0,350,Blue,2855355,6,Education,1,27-02-2022,Catchy/Melodic Music,0
ueWwg4gg-hs,Simply Mills,Is This the Most Fun FAMILY FRIENDLY Medieval Town Ever?,0,544,No Dominant Color,571,10,Tourism,0,01-09-2024,No Dominant Factor,0
2jYdj9qCEos,NCERT OFFICIAL,Maths Mela Mathematics Class 4 Chapter 14 Data Handling,0,912,No Dominant Color,76,9,Education,1,29-07-2025,Engaging Narrative,0
l2BAM76LTWU,Kids Diana Show,Diana Exercises and learns the English Alphabet,1,515,Pink,174068219,7,Education,1,25-04-2025,Creative Elements,1
X30fz5YyHRs,D Billions,What's That Sound with Baby DB D Billions Kids Songs,1,196,Yellow,2351547,10,Entertainment ,1,06-07-2025,Repetitive Music/Audio,1
gNhBiw9pgUo,Miss Mina,TOKYO CAPSULE HOTEL TOUR,1,388,Grey,59416064,4,Informative,0,27-12-2017,Exploration and Discovery,0
fMack_eDumk,FilmFacts,Cars Characters In Real Life,0,180,No Dominant Color,59258,5,Informative,0,15-07-2017,Familiar Characters,0
yziMNt1rBk4,Gabe and Garrett,Gabe and Garrett,1,401,Green,537516070,5,Entertainment ,1,29-03-2013,Element of Surprise,1
tA0hYGfKSRc,The Wordy Tales,How to Discipline Your Mind,1,391,Pastel Colors,9590,5,Motivatiotion,0,01-08-2025,Engaging Narrative,0
XV1i5xWFDLc,Disney Jr,Happy Helpers Valentine's Day Party!,1,281,Pink,19776676,5,Entertainment,1,18-02-2020,Familiar Characters,1
UwsrzCVZAb8,YouTube Originals,How Far is Too Far?  The Age of A.I.,1,2079,Black,63338519,9,Informative,0,18-12-2019,No Dominant Factor,0
pEj2NWSlup4,Ospen4iki,Cute #shorts by Ospen4iki,0,5,Red,64139128,4,Entertainment,1,19-09-2024,Element of Surprise,1
xaCEwyKD_Ug,Netflix India,Bheem Cooks The Best Pongal,1,154,Orange,811544087,5,Entertainment,1,09-01-2021,Familiar Characters,1
NALzA3loLwo,English Talk With Missy,Best Day of My Life,0,423,No Dominant Color,1470,4,Informative,0,12-07-2025,No Dominant Factor,0
bLceGPDRcqk,Alexander Studios,Lego Swimming Pool,1,387,Yellow,72321248,3,Entertainment,0,10-04-2021,Unique Animation Style,1
0sJeBiUCIt4,JoBlo Movie Clips,AVATAR Clip - Final Battle (2009) James Cameron,1,630,Blue,36240432,6,Entertainment,0,13-05-2020,Familiar Characters,1
V7Iw9wNo53I,Travis in WONDERLAND,Travis and kids Playtime at the Beach,1,264,Pink,197705251,7,Entertainment,1,06-07-2019,Imaginative Play Scenarios,1
CukGuySl-c4,Daily Quiz,Guess The Flag Quiz,0,487,Brown,9451,4,Informative,0,13-01-2022,No Dominant Factor,0
qseOJv8120A,MagicBox English Stories ,Dhruva | Great Indian Epic Stories for Kids | Watch more Fairy Tales and Moral Stories in MagicBox,1,835,Multi Colors,852322,16,Short Story,1,03-11-2016,Engaging Narrative,1
uPaL7TbQ4p0,English Natively,Real-Life English from a British Homemaker,0,12059,Red,135654,7,Education,0,19-04-2025,Engaging Narrative,0
fIaQ_5irD1U,KIDZEN - Music For Kids,3 Hours of Relaxing Baby Sleep Music: Soft Kitty | Piano Music for Kids and Babies,0,10815,Green,91340,15,Music,1,02-08-2022,Catchy/Melodic Music,0
EmHq_nsvw8g,Singh in USA,TRUTH of Indian vs American Education System! Ft. Indian Students in California!,0,1350,No Dominant Color,382106,12,Informative,0,15-02-2025,No Dominant Factor,0
yZ7cBunq8xo,DisneyMusicLAVEVO,Un Poco Loco,1,138,Red,1077111950,3,Music,1,23-03-2018,Repetitive Music/Audio,1
HzdlSKlNxkw,WIRED,Aerospace Engineer Answers Airplane Questions From Twitter,0,987,White,3762123,7,Education,0,10-09-2024,No Dominant Factor,0
OnKTPVlF0yE,Discover With Ruhi Cenet,WORLD'S SHORTEST WOMAN,1,644,No Dominant Color,12264210,3,Informative,0,07-08-2022,No Dominant Factor,0
KjqtDep5mT0,Mini Moments,Try Not to Sing Challenge,1,572,Pink,159601013,5,Music,1,15-02-2023,Repetitive Music/Audio,1
CcAO9IwVB88,Kids Diana Show,Mom's Ice Cream Truck Story,1,1701,Green,100112263,5,Entertainment ,1,16-03-2025,Distinctive Sound Effects,1
FOVe6CUi9QQ,Kids Roma Show,Roma Diana and their sweetest stories for children,1,1284,Multi Colors,849400473,8,Entertainment,1,15-12-2020,Familiar Characters,1
PNTCM7cbrsc,Campus Movie Fest,Small Talk,0,299,Green,1984011,2,Entertainment ,0,08-11-2013,No Dominant Factor,0
Lt-U_t2pUHI,Marvel Entertainment,Marvel's Doctor Strange Teaser Trailer,1,122,No Dominant Color,26251226,5,Entertainment,0,13-03-2016,Familiar Characters,1
s1QqQmuSuBU,Let Me Explain Studios,Bottled Opera (by Rebecca Parham),0,137,Brown,1025778,5,Music,0,25-06-2014,No Dominant Factor,0
6W0FZmEG7E0,Kids Diana Show,Fun Summer Activities for Kids - Compilation of Summer stories 2024,1,3818,Bright Colors,18730689,9,Entertainment ,1,28-07-2024,Familiar Characters,1
j9GLtq11cPs,Piano Adventures with Jadon,Way out West,0,95,Black,44,3,Vlog,1,31-07-2025,Catchy/Melodic Music,0
N3ARCCkMOhk,Fascinating Comparison,List of National Foods of Different Countries,0,203,White,768,7,Informative,0,14-06-2023,No Dominant Factor,0
cPnbdAFrSLM,It's AumSum Time,What if Pizza Disappeared? + more videos,0,934,No Dominant Color,10599040,8,Education,1,06-02-2021,Distinctive Sound Effects,0
uYkZmpTj_-4,Elis and Thomas Tube,Little Girl Elis Ride On Pink Jeep with Cozy Coupe Little Tikes /w Thomas Toys Dirt Cross Super Bike,1,248,Pink,348112196,18,Entertainment,1,08-09-2018,Visual Effects,1
kF7WULOuRPk,B96 Chicago,This Interview with Justin Bieber at 15-Years-Old Will Melt Your Heart,1,440,Black,4400362,12,Entertainment ,0,11-09-2009,Familiar Characters,1
JffF6AqWCHE,Engineering Physics by Sanjiv,Applications of NanoTechnology,0,286,White,76261,3,Education,0,19-11-2020,No Dominant Factor,0
DEWdz8AInfk,Vlad and Niki,Vlad and Niki and useful stories about good behavior from their life,1,550,Bright Colors,595023650,12,Entertainment ,1,30-04-2022,Distinctive Sound Effects,1
zg8ABofFt3s,Celeb Stats,Henry Cavill vs Jason Momoa vs Chris Hemsworth,0,564,No Dominant Color,10306,8,Informative,0,20-01-2025,Distinctive Sound Effects,0
fdPu-wvl3KE,Cocomelon - Nursery Rhymes,Peek A Boo,1,125,Green,2547006481,3,Music,1,10-01-2018,Repetitive Music/Audio,1
FGvdNUgC5Kk,Max Reisinger,A Day In The Life At AMERICAN PUBLIC SCHOOL,0,918,No Dominant Color,9633972,9,Entertainment ,0,15-12-2019,Exploration and Discovery,0
0RssAibYGpA,Senya Toys Review,POLICE BABY Pretend Play with Police Cars Unboxing and Playing with TOYS,1,851,Green,236106809,12,Entertainment ,1,10-01-2019,Element of Surprise,1
krvlrCb1RIM,First Toons,Car Toons: A Bus. A Car Cartoon & A Bus Cartoon,1,360,Yellow,48798467,11,Entertainment,1,10-08-2017,Unique Animation Style,1
jXHOHOYkbYc,Canine Companions,Andy: A Dog's Tale  Full Film  Canine Companions,1,451,Yellow,13238144,8,Entertainment ,1,27-09-2024,Unique Animation Style,1
17ECJLPiq90,Pogo,M.A.D ,0,1343,Red,32606,1,Informative,1,29-09-2024,Creative Elements,0
Ra8S0XxGKEY,Inside Edition,Miss USA Defends Her Residence Status,0,107,Blue,26558,6,Informative,0,17-06-2014,Familiar Characters,0
uIrg6aAtOKE,Digital Butterfly,The World in 2040,1,634,White,25502,4,Informative,0,26-06-2025,Technologies,0
QMnEP2DYfmI,Daniel Yam,Ripple (Award Winning)- Kindness and good deeds will come back to you,1,347,No Dominant Color,1207749,9,Informative,0,17-07-2021,No Dominant Factor,0
EGlLMGUCUos,WildBrain Kids,Pizza Bean - Mr Bean,1,1890,Brown,107544416,4,Entertainment ,1,28-04-2021,Familiar Characters,1
Do1IiCEpxns,Walt Disney Animation Studios,Bambi and Thumper,0,175,No Dominant Color,19921,3,Informative,1,28-08-2009,No Dominant Factor,0
9pEqyr_uT-k,Red bull,World's Fastest Camera Drone Vs F1 Car (ft. Max Verstappen),1,724,No Dominant Color,31233960,10,Entertainment ,0,21-02-2024,Game-like Progression,1
I9e-nbpI9o,Vania Mania Kids,Ð’Ðœ: Ð“Ð¾Ñ‚Ð¾Ð²Ð¸Ð¼ ÐºÐ¾ÐºÑ‚ÐµÐ¹Ð»ÑŒ Ð¸ Ð¼Ð¾Ñ€Ð¾Ð¶ÐµÐ½Ð¾Ðµ Ð¤Ð°Ð±Ñ€Ð¸ÐºÐ° Ð´ÐµÑÐµÑ€Ñ‚Ð¾Ð² | Cocktail and ice cream Let's cook Fruit Factory,0,934,No Dominant Color,16576,15,Entertainment,1,10-07-2015,Character Novelty,0
nb_fFj_0rq8,Avatar,Avatar: Fire and Ash,1,145,Blue,18338256,4,Entertainment,1,28-07-2025, Unique Animation Style,1
UM8lwELum5o,Super Lev,Baby biker Super lev Stuck in the mud Gleb help on Power wheels white Car,0,456,Orange,32249006,15,Entertainment,1,18-05-2019,Distinctive Sound Effects,1
hY3tzNUjoHc,The Tonight Show Starring JImmyFallon,"
Justin Bieber and Questlove Drum-Off",1,161,No Dominant Color,44357670,6,Entertainment ,0,03-09-2015,Familiar Characters,1
ULrYVum6qZQ,Vlad and Niki,Christmas stories for kids with Vlad and Niki,1,794,Red,120212145,8,Entertainment ,1,24-12-2022,Familiar Characters,1
l-tF-u0pjuQ,Chris kids Show,Chris and Firefighters Rescue Mission,1,904,Red,18202577,5,Informative,1,17-05-2025,Element of Surprise,1
kffacxfA7G4,Justin Bieber,Baby ft. Ludacris,0,220,Blue,3401725410,3,Music,0,19-02-2009,Catchy/Melodic Music,1
2n4enj6YMnw,ChuChu TV,Phonics Song with Two Words,1,296,Green,1244774483,5,Music,1,07-04-2020,Repetitive Music/Audio,1
dqL9zNn2VDM,WildBrain Bananas,Mr Bean Animated,1,676,Brown,45751272,3,Entertainment,1,24-07-2019,Familiar Characters,1
yXWw0_UfSFg,MrBeast,Anything You Can Fit In The Circle Iâ€™ll Pay For,1,1182,Black,321364686,3,Entertainment ,0,08-03-2020,Familiar Characters,1
8afO6jkod_4,Simon Sinek,The Power of Kindness Simon Sinek,0,148,Black,346628,6,Informative,0,29-05-2020,On-screen Positive Feedback,0
ofObMMZ-4xY,NuNu Tv,The Bear Went Over The Mountain,1,161,Blue,12742281,6,Nursery Rhymes,1,04-03-2025,Repetitive Music/Audio,1
Rlrcux_Hji8,WildBrain Happy,Nurse  Mr Bean ,1,646,Brown,20091736,3,Entertainment ,1,24-01-2022,Familiar Characters,1
dkz6qr8I108,TheEllenShow,Justin Bieber's Second Interview on The Ellen Show,1,396,Pink,347668,8,Entertainment ,0,04-05-2023,Familiar Characters,0
fKopy74weus,ImagineDragons,Imagine Dragons - Thunder,1,204,Black And White,2294460820,3,Music,0,05-03-2017,Catchy/Melodic Music,1
jJLkaGDt4U8,Motivation Ark,Arnold Schwarzenegger's Life Advice Will Change Your Future (MUST WATCH),1,265,No Dominant Color,10869,10,Motivation,0,02-09-2020,On-screen Positive Feedback,0
EA_fbT6oN2k,CVS 3D Rhymes & Kids Songs,Johny Johny Yes Papa Nursery Rhyme ,1,187,Bright Colors,2689579915,6,Music,1,26-01-2017,Repetitive Music/Audio,1
El2aRecaqTg,Peacock,The Capture,1,41,No Dominant Color,6816,2,Entertainment ,0,05-05-2020,No Dominant Factor,0
XCZJzHbjHcE,inkypinkytv,Waldo The Worrywart Walrus,1,136,White,210,4,Short Story,1,30-07-2025,Engaging Narrative,0
k85mRPqvMbE,Crazy Frog,Axel F,1,171,Blue,5309856964,2,Music,0,17-06-2009,Repetitive Music/Audio,1
LOSj3eok22E,Marvel HQ,Spidey Meets Iron Man!,1,162,Red,12522305,4,Entertainment ,1,08-02-2018,Familiar Characters,1
_2PRHT2IzFg,The Dodo,Tiny Piglet's Whole World Changes When She Meets This Baby Cow,1,724,Brown,21673789,11,Documentary,0,14-06-2020,Animals,0
E8YQPBHLUrY,Find Y,All Of Linear Algebra Explained In 10 Minutes,0,615,White,64619,8,Education,0,30-05-2025,No Dominant Factor,0
AdhGlXVvPMI,Vlad and Niki,Escalator Mall Adventure - Kids Learn Mall Safety Rules,1,1048,Red,190006049,8,Informative,1,05-04-2025,Playful Problem Solving,1
N4be_eLqmE,Cocomelon Nursery Rhymes,Learning Spanish ABC's Song | CoComelon Nursery Rhymes & Kids Songs,1,180,Multi Colors,35503648,10,Music,1,05-03-2022,Repetitive Music/Audio,1
s9ALylTC9YQ,Hafu Go,Level 1 to 100 Science Experiments,1,48,White,25440349,6,Education,0,21-10-2023,Element of Surprise,1
fZLLqapzxRQ,Tracy Nguyen,Little Big Shots Meet Micro Mayor James Episode Highlight( Engsub),0,292,No Dominant Color,21779748,10,Entertainment ,0,26-07-2016,On-screen Positive Feedback,0
aGq_ViGODvw,The Ranger Zak Show,Dirt Don't Hurt Music Video | Music for Kids,1,70,Brown,3035,8,Music,1,24-02-2021,Catchy/Melodic Music,0
4kXrUXDZKuM,Insider Science,Here's What Happens If You Stopped Brushing Your Teeth,0,189,Red,4534859,9,Informative,0,04-09-2018,No Dominant Factor,0
nagl8tq5yNs,Tales by Monisha,The Unbelievable Story of a Vegetable Seller,0,891,No Dominant Color,85360,7,Inspiration,0,07-08-2024,Distinctive Sound Effects,0
VmFqOMd4C90,MovieCon Animation,Walt Disney: CHIP N DALE - Out Of Scale,1,458,Blue,14840896,9,Entertainment,1,20-03-2017,Familiar Characters,1
_y_eb75HMNc,Hello Smart Kids,Charlie Learns to Say 'I Forgive You',0,208,Peach,208,7,Entertainment,1,28-07-2025,Unique Animation Style,0
YfbcH_OO-Ck,Like Nastya,Nastya and her Friends Princesses,1,289,Blue,1889250,5,Entertainment ,1,05-01-2021,Familiar Characters,1
dE9flJo892o,Daisy Video AI,Adorable! Tiger-Hat Kittenâ€™s First Karate Try ,1,168,Orange,246469,7,Entertainment,0,26-07-2025,Animals,0
ymigWt5TOV8,Zumba with Dovydas,Zumba Kids (easy dance) - I like to move it,1,120,Pink,213160727,7,Entertainment,1,26-08-2018,Repetitive Music/Audio,1
svoMslacF4U,Kids Diana Show,Diana's Ultimate Puppy Birthday Party Filled with Surprises,1,526,Pink,1752546,8,Entertainment ,1,08-05-2025,Element of Surprise,1
hxOApe1P9dM,Cocomelon - Nursery Rhymes,Humpty Dumpty Grocery Store,1,169,Brown,962972970,4,Music,1,22-08-2023,Familiar Characters,1
0wcH9-u7BaY,Aghapy,ADONAI: John's Heavenly Vision of God's Throne,1,231,Blue,279296,7,Music,0,03-07-2025,Religious,0
88vmzn_LufA,neo,How the US President Travels,0,640,Black,11771974,5,Education,0,06-12-2023,Element of Surprise,1
bn0Kh9c4Zv4,MrBeast,7 Days Exploring An Underground City,1,1234,Brown,149695216,6,Entertainment ,0,12-10-2024,Element of Surprise,1
